threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy
0.205,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.206,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.207,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.208,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.209,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.21,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.211,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.212,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.213,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.214,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.215,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.216,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.217,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.218,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.219,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.22,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.221,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.222,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.223,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.224,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.225,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.226,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.227,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.228,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.229,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.23,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.231,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.232,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.233,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.234,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.235,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.236,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.237,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.238,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.239,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.24,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.241,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.242,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.243,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.244,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.245,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.246,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.247,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.248,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.249,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.25,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.251,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.252,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.253,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.254,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.255,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.256,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.257,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.258,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.259,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.26,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.261,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.262,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.263,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
