"source_file","scenario","segment","snapshot_id","begin_source_line","end_source_line","begin_frame","end_frame","threshold","roi_width","roi_height","roi_y_first","roi_y_last","row_count","expected_row_count","dark_left_count","dark_center_count","dark_right_count","d128_left_percent_exact","d128_center_percent_exact","d128_right_percent_exact","d128_left_percent_firmware","d128_center_percent_firmware","d128_right_percent_firmware","complete","status","content_sha256"
"左转极限.txt","左转极限","1","左转极限:s1:b9","201","227","519","519","128","200","24","88","111","24","24","1374","1463","115","85.44776119402985","90.98258706467662","7.26010101010101","85","90","7","True","complete","E4E1A780F22913998512151A7B5450D696569A0D59158D7D306DBE43422857CA"
"左转极限.txt","左转极限","1","左转极限:s1:b10","228","255","553","553","128","200","24","88","111","24","24","1150","1321","341","71.51741293532338","82.15174129353234","21.52777777777778","71","82","21","True","complete","DAEA405109D2EE3D2EB9DB81EEDA50921C2EA38576F86ECE4C37435A295B82F1"
"左转极限.txt","左转极限","1","左转极限:s1:b11","257","283","588","588","128","200","24","88","111","24","24","472","1163","1273","29.35323383084577","72.32587064676616","80.36616161616162","29","72","80","True","complete","90BE92A727B56BD90B097CCDDC77BA373B6B87A1BE406548A8DF74ED5BA6DC58"
"左转极限.txt","左转极限","1","左转极限:s1:b12","284","310","623","623","128","200","24","88","111","24","24","529","841","1326","32.898009950248756","52.30099502487562","83.71212121212122","32","52","83","True","complete","909CCDC484128823CE965BDC7DA15C51F6F08F62C6D92897CE03EB0C47464E47"
"左转极限.txt","左转极限","1","左转极限:s1:b13","311","337","658","658","128","200","24","88","111","24","24","1132","232","1025","70.39800995024876","14.427860696517413","64.70959595959596","70","14","64","True","complete","C2D773FA65EF338A395526764030A6795387764D127C99F2ADEF9EA7126B2F49"
"左转极限.txt","左转极限","1","左转极限:s1:b14","338","364","691","691","128","200","24","88","111","24","24","1271","724","322","79.04228855721394","45.024875621890544","20.328282828282827","79","45","20","True","complete","1F62F3A0170C6EB346E0A9D5FB670CF1B94F38AFC8F763AE3F74B17C4AB7A82C"
"左转极限.txt","左转极限","1","左转极限:s1:b15","365","391","726","726","128","200","24","88","111","24","24","1357","1098","635","84.3905472636816","68.28358208955224","40.08838383838384","84","68","40","True","complete","96AF894A23EA2D439731C333983503C269AEE98751BA4CF50490EA5A2AC7A95B"
"左转极限.txt","左转极限","1","左转极限:s1:b16","393","419","761","761","128","200","24","88","111","24","24","1134","1115","911","70.5223880597015","69.3407960199005","57.51262626262626","70","69","57","True","complete","DE0C0FBA8AF7FB4711E60D34DC9A37D886371793C5511AB8341D4C6C8E723CCA"
"左转极限.txt","左转极限","1","左转极限:s1:b17","420","446","796","796","128","200","24","88","111","24","24","1131","1117","923","70.33582089552239","69.46517412935323","58.27020202020202","70","69","58","True","complete","680FA16025D607574AEFAA3C60F3ED1F28F7861632738D67107B27390F774E4A"
"左转极限.txt","左转极限","1","左转极限:s1:b18","447","473","831","831","128","200","24","88","111","24","24","1134","1115","913","70.5223880597015","69.3407960199005","57.638888888888886","70","69","57","True","complete","38DE4B9185EF540518BB55A14462AE3CD7B611FB21C38B6F88F6DE597366D92A"
"左转极限.txt","左转极限","1","左转极限:s1:b19","474","500","865","865","128","200","24","88","111","24","24","1135","1140","945","70.58457711442786","70.8955223880597","59.65909090909091","70","70","59","True","complete","18C43016AECACF7B09C0B5B3BEAF76B14D66E61C763ABFEBE3CCA82289A24DAE"
